Page,ETS(clicks)
Amber_Rose_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
América_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
América_Latina_es.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
America's_Got_Talent_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
American_Civil_War_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
American_Civil_War_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
American_Crime_Story_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
American_Crime_Story_en.wikipedia.org_desktop_all-agents,"<ETS(M,A,M)>"
American_Crime_Story_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
American_Horror_Story_de.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
American_Horror_Story_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
American_Horror_Story_es.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
American_Horror_Story:_Freak_Show_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,N)>"
American_Horror_Story:_Freak_Show_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
American_Horror_Story:_Hotel_en.wikipedia.org_desktop_all-agents,"<ETS(M,A,M)>"
American_Idol_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
American_Revolutionary_War_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Amir_Khan_(boxer)_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Amitabh_Bachchan_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Amitabh_Bachchan_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Amor_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Amy_Adams_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Amy_Adams_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Amy_Jackson_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Amy_Jackson_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Amy_Poehler_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Amy_Schumer_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,A)>"
Amy_Schumer_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,M)>"
Amy_Winehouse_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Amy_Winehouse_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,A)>"
Anal_sex_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,A)>"
Ancient_Greece_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
And_Then_There_Were_None_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Anderson_Cooper_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Anderson_Cooper_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
André_the_Giant_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
André_the_Giant_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Andre_Ward_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Andrea_Bocelli_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Andrew_Garfield_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Andrew_Garfield_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Andrew_Jackson_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,A)>"
Andrew_Jackson_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Android_(operating_system)_en.wikipedia.org_desktop_all-agents,"<ETS(M,A,M)>"
Android_(operating_system)_en.wikipedia.org_mobile-web_all-agents,"<ETS(A,N,N)>"
Android_version_history_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Android_version_history_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Andy_Murray_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
